German,English
ist,is
ich,I
nicht,not
Sie,She
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
Du,You
mir,me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,We
Und,And
so,so
sind,are
von,from
dich,you
war,was
haben,have
für,for
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,How
noch,still
dir,you
uns,us
sich,itself
Die,The
nur,only
einen,a
Nein,No
dem,dem
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,out of
kann,can
aber,but
Aber,But
schon,already
wenn,if
wird,becomes
um,around
Wie,How
als,as
bist,are
im,in the
mal,just
doch,but
gut,good
meine,mine
jetzt,now
weiß,white
Wenn,If
werden,become
Der,The
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,must
immer,always
nichts,nothing
man,man
wieder,again
bei,at
hab,have
machen,make
vor,before
Mann,Man
ihm,him
einem,a
tun,do
zum,for the
können,can
sagen,say
werde,become
denn,because
Ist,Is
Ein,A
Warum,Why
einer,one
gehen,go
sehen,see
sehr,very
geht,goes
alle,all
über,above
müssen,must
diese,this
einfach,simply
euch,you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,Time
Ihnen,Them
gibt,gives
Hey,Hey
Danke,Thanks
würde,would
soll,should
Da,There
hatte,had
Hier,Here
wissen,knowledge
viel,much
Dann,Then
So,So
gesagt,said
Ihr,Her
am,at the
kein,no
Komm,Come
Wer,Who
zurück,back
wurde,became
In,In
wollte,wanted
Frau,Woman
Leben,Life
wäre,were
wo,where
damit,with it
Nicht,Not
Leute,People
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N/a
wollen,want
sicher,secure
ganz,quite
Jetzt,Now
Mein,My
Mr,Mr
also,so
zur,to
Hast,Have
Gut,Good
hätte,would have
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,might
waren,were
bis,until
Vielleicht,Perhaps
könnte,could
Eine,One
Bitte,Please
seine,his
lassen,let
Vater,Father
gesehen,seen
Nun,Well
gerade,straight
Alles,Everything
glaube,believe
Tag,Day
ab,away
Geld,Money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,no
durch,through
zwei,two
diesen,this
passiert,happened
wohl,probably
vielleicht,perhaps
ihre,her
Mutter,Mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,want
wirst,become
gehört,heard
weißt,white
Keine,No
raus,out
Meine,Mine
paar,couple
besser,better
ob,if
her,from
musst,must
Ordnung,Order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,this
meinem,my
lange,long
Lass,Let
dieses,this
helfen,help
unsere,our
Weg,Away
Nur,Only
finden,find
Mal,Just
jemand,someone
denke,think
Ach,Oh
Nacht,Night
genau,Exactly
gar,even
sagt,says
Welt,World
Auf,On
Mädchen,Girl
ins,into the
hin,there
vom,from the
schön,nice
warum,Why
weiter,further
Leid,Sorrow
gleich,even
wer,who
Man,Man
ohne,without
Menschen,People
deinen,yours
leid,sorrow
Wieso,How come
dort,there
Als,As
Hause,Home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,OK
Hör,Listening
Freund,Friend
richtig,correct
Angst,Fear
Bist,Are
Tut,Does
Mit,With
viele,many
sieht,sees
Haus,House
tot,dead
sollen,should
ganze,whole
andere,other
getan,did
okay,OK
rein,pure
Diese,This
Moment,moment
brauchen,need
Weil,Because
Kinder,Children
unter,under
Problem,problem
dafür,for that
Herr,Mister
wegen,because of
geht's,Is it possible
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Her
ne,ne
gegen,against
Weißt,White
Sag,say
nun,so
eines,one
brauche,need
Abend,Evening
hatten,had
Jahre,Years
Mach,Make
Bruder,Brother
Sache,Matter
hören,hear
komm,come
Sohn,Son
seit,since
Morgen,Morning
drei,three
steht,stands
Scheiße,Fuck
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,is called
OK,OK
Willst,Want
Kopf,Head
Hilfe,Help
Familie,Family
Geh,Walk
Baby,infant
Dich,You
erst,first
fertig,complete
seid,are
kam,came
nehmen,take
morgen,morning
sprechen,speak
Mir,Me
sofort,immediately
Kann,Can
Hat,Has
Jahren,Years
Kind,child
seinen,his
daran,to it
Junge,Boy
bevor,before
Stadt,City
beim,at the
sterben,die
warst,beings
Recht,Right
glauben,believe
Warte,Wait
darüber,about it
deiner,yours
deinem,yours
Ende,End
He,Hey
Dinge,Things
Namen,Names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,Really
bekommen,receive
Männer,Men
vergessen,forget
Doch,But
dazu,in addition
gab,gave
später,later
wusste,knew
Augen,Eyes
Dank,Thanks to
Freunde,Friends
Jungs,guys
halten,hold
warten,wait
Glück,Luck
beide,both
gute,good
Dein,Your
kennen,know
Deine,Your
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,come
mache,make
Von,From
Uhr,Clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Kind
gern,gladly
Liebe,Love
jeden,every
könnten,might
ihren,your
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,a little
eigentlich,actually
weit,far
mach,make
Gib,Give
vorbei,over
verstehe,understand
danke,Thanks
drin,in it
Im,In the
Name,Surname
ganzen,entire
Musik,Music
würden,would
Tür,door
verrückt,crazy
solltest,should
denken,think
Noch,Still
dran,your turn
Sieh,See
lieber,Dear
Den,The
leben,life
Guten,Good
Um,Around
darauf,on it
Kein,No
stimmt,true
Kerl,Guy
letzte,last
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,Idea
seiner,his
Grund,Reason
Bis,Until
Verdammt,Damned
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,behind
Schon,Already
Sehr,Very
Hand,hand
